Freq.	V(vout+)-V(vout-)
3.80189396320559e-002	(-2.79955985522258e+000dB,-1.30694623291596e+002°)
3.89045144994278e-002	(-2.68571524746287e+000dB,-1.31347901855900e+002°)
3.98107170553495e-002	(-2.57413581267478e+000dB,-1.32003095552283e+002°)
4.07380277804110e-002	(-2.46483365904241e+000dB,-1.32659866422855e+002°)
4.16869383470333e-002	(-2.35781856033417e+000dB,-1.33317872387139e+002°)
4.26579518801590e-002	(-2.25309791503931e+000dB,-1.33976768119652e+002°)
4.36515832240163e-002	(-2.15067671526018e+000dB,-1.34636205948190e+002°)
4.46683592150960e-002	(-2.05055752563717e+000dB,-1.35295836767179e+002°)
4.57088189614872e-002	(-1.95274047249499e+000dB,-1.35955310960247e+002°)
4.67735141287195e-002	(-1.85722324330747e+000dB,-1.36614279326106e+002°)
4.78630092322635e-002	(-1.76400109648610e+000dB,-1.37272394001746e+002°)
4.89778819368443e-002	(-1.67306688140400e+000dB,-1.37929309377010e+002°)
5.01187233627269e-002	(-1.58441106847634e+000dB,-1.38584682994708e+002°)
5.12861383991362e-002	(-1.49802178902915e+000dB,-1.39238176430591e+002°)
5.24807460249769e-002	(-1.41388488460415e+000dB,-1.39889456147776e+002°)
5.37031796370249e-002	(-1.33198396526794e+000dB,-1.40538194320468e+002°)
5.49540873857621e-002	(-1.25230047642098e+000dB,-1.41184069622215e+002°)
5.62341325190346e-002	(-1.17481377353669e+000dB,-1.41826767974327e+002°)
5.75439937337153e-002	(-1.09950120420342e+000dB,-1.42465983250528e+002°)
5.88843655355585e-002	(-1.02633819679395e+000dB,-1.43101417934390e+002°)
6.02559586074354e-002	(-9.55298355048016e-001dB,-1.43732783726624e+002°)
6.16595001861478e-002	(-8.86353557823709e-001dB,-1.44359802099803e+002°)
6.30957344480189e-002	(-8.19474063253833e-001dB,-1.44982204798625e+002°)
6.45654229034651e-002	(-7.54628616532660e-001dB,-1.45599734284387e+002°)
6.60693448007592e-002	(-6.91784560557284e-001dB,-1.46212144122818e+002°)
6.76082975391978e-002	(-6.30907948655503e-001dB,-1.46819199314981e+002°)
6.91830970918932e-002	(-5.71963658647591e-001dB,-1.47420676571409e+002°)
